No data from PTF
 
2457332.73785 g 18.7584 0.0409
2457332.76943 g 18.7623 0.0403
2457333.73451 g 18.425 0.0416
2457333.76266 g 18.4345 0.0356
2457334.72057 g 18.1398 0.0288
2457334.74854 g 18.1274 0.0294
2457335.72028 g 17.9576 0.023
2457335.74823 g 17.9504 0.0233
2457338.75243 g 17.733 0.0274
2457338.78035 g 17.6576 0.021
2457339.72851 g 17.6298 0.0229
2457339.75624 g 17.7249 0.0275
2457340.73109 g 17.6771 0.0214
2457340.75896 g 17.6088 0.0233
2457341.73307 g 17.6627 0.019
2457341.76094 g 17.6678 0.0196
2457343.728 g 17.7533 0.0283
2457343.75866 g 17.6588 0.0352
2457344.72983 g 17.8127 0.0257
2457344.77013 g 17.8242 0.027
2457345.74792 g 17.8653 0.0295
2457345.7792 g 17.8565 0.033
