No data from PTF
 
2457332.73551 g 19.5646 0.0764
2457332.76708 g 19.5816 0.0909
2457333.73216 g 19.1051 0.0963
2457333.76032 g 19.1265 0.098
2457334.71824 g 19.1315 0.0711
2457334.7462 g 19.1642 0.0636
2457335.71795 g 19.0049 0.0509
2457335.7459 g 19.0322 0.0551
2457338.7501 g 18.8715 0.0657
2457338.77802 g 18.8624 0.0549
2457339.72619 g 18.6711 0.0518
2457339.75394 g 18.7285 0.08
2457340.72876 g 18.663 0.0454
2457340.75663 g 18.6793 0.0497
2457341.73074 g 18.6202 0.041
2457341.75861 g 18.6509 0.0406
2457343.72565 g 18.4905 0.0587
2457343.7563 g 18.5297 0.0802
2457344.72744 g 18.6838 0.0651
2457344.76782 g 18.5986 0.0671
2457345.7456 g 18.6517 0.059
2457345.77689 g 18.5281 0.0828
