No data from PTF
 
2457332.61112 g 20.6582 0.1511
2457333.6433 g 20.3361 0.2067
2457334.59439 g 20.3246 0.1763
2457334.62949 g 20.2109 0.1872
2457335.59404 g 20.1146 0.1398
2457335.62912 g 20.0572 0.1636
2457338.61529 g 19.6964 0.1456
2457338.66105 g 19.7197 0.1141
2457339.59265 g 20.0034 0.1651
2457340.59228 g 19.6333 0.0874
2457340.62339 g 19.6632 0.081
2457341.60272 g 19.5848 0.0843
2457341.634 g 19.7565 0.0904
2457343.59119 g 19.687 0.1134
2457343.63032 g 19.6598 0.1653
2457344.59185 g 19.6773 0.1395
2457344.63087 g 19.6648 0.1057
2457349.60029 g 19.7735 0.1955
