No data from PTF
 
2457389.89139 g 16.4267 0.0086
2457389.92428 g 16.4117 0.0085
2457424.85231 g 18.5981 0.0414
2457424.86899 g 18.5663 0.0282
2457424.88567 g 18.5996 0.0431
2457427.85448 g 18.8598 0.0449
2457427.871115 g 18.8432 0.032
2457427.88775 g 18.8247 0.0465
2457430.84469 g 19.0106 0.0461
2457430.86122 g 19.0462 0.0343
2457430.87775 g 19.0528 0.0528
2457433.81453 g 19.2144 0.093
2457449.6862 g 19.4469 0.1072
2457451.62881 g 19.3853 0.0877
2457451.65139 g 19.3994 0.0795
2457452.66288 g 19.3816 0.0705
2457452.67409 g 19.3511 0.0452
2457452.6853 g 19.3011 0.0743
2457454.63063 g 19.3201 0.0915
2457457.66503 g 19.5042 0.072
2457457.68752 g 19.5461 0.0786
2457458.66647 g 19.5821 0.0836
2457463.63267 g 19.4706 0.1186
2457463.65363 g 19.7005 0.1204
2457463.67506 g 19.4712 0.1502
