No data from PTF
 
2457094.71304 g 19.4865 0.0845
2457094.73969 g 19.4323 0.0969
2457095.68086 g 19.4098 0.0845
2457095.70796 g 19.458 0.1035
2457096.68307 g 19.5164 0.0863
2457096.70985 g 19.4821 0.1056
2457097.67382 g 19.3596 0.1029
2457098.69758 g 19.4498 0.0895
2457100.69693 g 19.5383 0.134
2457100.72534 g 19.4408 0.0992
2457101.68418 g 19.5424 0.1172
2457101.71214 g 19.6091 0.1022
2457102.18276 g 19.6094 0.0689
2457102.65338 g 19.4073 0.1061
2457102.6816 g 19.5065 0.1222
2457103.65574 g 19.8124 0.0986
2457103.68395 g 19.6376 0.0955
2457104.177625 g 19.7064 0.0638
2457104.6713 g 19.796 0.1039
2457104.69933 g 19.6708 0.1328
2457107.6538 g 20.0201 0.1333
2457107.67656 g 19.9315 0.1299
2457108.164595 g 19.8306 0.092
2457108.65263 g 19.538 0.1709
2457108.66978 g 19.6529 0.122
