No data from PTF
 
2457094.75009 g 19.175 0.1118
2457095.69139 g 18.6509 0.0701
2457095.71855 g 18.7956 0.0562
2457096.69348 g 18.3124 0.0527
2457096.72028 g 18.2703 0.0465
2457097.68422 g 18.0636 0.047
2457097.71111 g 17.8577 0.1548
2457098.66821 g 17.4591 0.1089
2457098.69641 g 17.8705 0.0259
2457100.69575 g 17.3017 0.0295
2457100.72417 g 17.4169 0.0183
2457101.68301 g 17.2781 0.017
2457101.71098 g 17.2413 0.0129
2457101.71098 g 17.2847 0.0179
2457102.65221 g 17.1606 0.0158
2457102.68043 g 17.146 0.0182
2457103.65459 g 17.0562 0.0135
2457103.68278 g 17.06 0.0136
2457104.176465 g 17.0118 0.0096
2457104.67015 g 17.002 0.0146
2457104.69817 g 16.9053 0.0172
2457107.65262 g 16.9782 0.0136
2457107.67541 g 16.9017 0.0133
2457108.163415 g 16.9206 0.0092
2457108.65142 g 16.8996 0.0144
2457108.6686 g 16.9027 0.0141
2457363.9523 g 21.0314 0.194
2457369.9888 g 21.0852 0.148
2457375.973295 g 20.8516 0.1889
