No data from PTF
 
2457095.8289 g 20.511 0.1273
2457096.79634 g 19.8373 0.1628
2457096.82838 g 20.2028 0.1005
2457096.83188 g 20.1087 0.11
2457097.78719 g 19.7038 0.079
2457097.79067 g 19.062 0.1335
2457097.81924 g 19.675 0.0712
2457097.82272 g 19.5921 0.0858
2457098.82394 g 19.2942 0.0881
2457098.82514 g 19.1083 0.0958
2457101.80397 g 18.7369 0.0368
2457101.80744 g 18.6944 0.0447
2457101.8375 g 18.6352 0.0358
2457101.84098 g 18.6646 0.0411
2457102.297975 g 18.5854 0.0226
2457102.30145 g 18.5998 0.0246
2457102.75845 g 18.5371 0.0301
2457102.76192 g 18.5722 0.0377
2457102.79175 g 18.4749 0.0292
2457102.79522 g 18.5821 0.0363
2457103.76096 g 18.3172 0.0262
2457103.76443 g 18.3999 0.0343
2457103.79422 g 18.4039 0.0291
2457103.79771 g 18.3925 0.0409
2457104.288195 g 18.269 0.0213
2457104.77521 g 18.2628 0.0276
2457104.77521 g 18.2893 0.0219
2457104.77868 g 18.2257 0.0318
2457104.80667 g 18.277 0.0288
2457104.81016 g 18.1818 0.0335
2457107.75302 g 17.9174 0.0248
2457107.75656 g 17.9601 0.0279
2457107.78483 g 17.9067 0.0238
2457107.78836 g 17.9543 0.0276
2457108.73438 g 17.8605 0.0231
2457108.73793 g 17.8623 0.0246
2457108.77001 g 17.8663 0.0244
2457109.236595 g 17.8268 0.0162
2457109.70318 g 17.7728 0.0246
2457109.70666 g 17.7681 0.0262
2457109.73676 g 17.8296 0.0261
2457109.74023 g 17.823 0.0261
2457111.72156 g 17.7192 0.0305
2457111.72507 g 17.7916 0.0339
2457111.75286 g 17.7277 0.0291
2457111.75634 g 17.6973 0.0313
2457112.21865 g 17.7426 0.0188
2457112.22213 g 17.702 0.0197
2457112.68444 g 17.7733 0.033
2457112.68792 g 17.6632 0.0388
2457112.71809 g 17.7694 0.0333
2457112.72156 g 17.6864 0.0373
2457113.70388 g 17.7629 0.038
2457113.70735 g 17.726 0.0433
2457113.73994 g 17.7191 0.0362
2457113.74343 g 17.7265 0.0395
2457114.7319 g 17.8345 0.0566
2457114.73534 g 17.7424 0.05
2457119.74463 g 17.9395 0.0635
2457119.74811 g 18.1335 0.0857
2457119.77478 g 17.9419 0.0714
2457119.77826 g 17.8248 0.061
2457122.74845 g 18.1472 0.024
2457122.75193 g 18.1667 0.0288
2457122.77868 g 18.1266 0.0231
2457122.78218 g 18.1575 0.0285
2457124.76786 g 18.3385 0.0287
2457124.77133 g 18.3396 0.0342
2457124.79681 g 18.3739 0.0285
2457124.80028 g 18.3398 0.0337
2457125.30635 g 18.408 0.0202
2457125.309845 g 18.3397 0.0214
2457125.81589 g 18.4599 0.0297
2457125.81941 g 18.424 0.0369
2457125.84497 g 18.4377 0.0303
2457125.84845 g 18.3607 0.0365
2457126.75014 g 18.5882 0.0293
2457126.75363 g 18.5801 0.0368
2457126.77914 g 18.5969 0.0298
2457126.78263 g 18.4498 0.0336
2457127.25782 g 18.6213 0.0221
2457127.7365 g 18.6136 0.0353
2457127.73998 g 18.5929 0.0425
2457127.7689 g 18.6344 0.0357
2457127.77237 g 18.6588 0.044
2457128.24833 g 18.6543 0.0279
2457128.72083 g 18.778 0.0393
2457128.72429 g 18.8314 0.0498
2457128.75323 g 18.7054 0.0411
2457128.7567 g 18.6611 0.0559
2457129.72464 g 18.7798 0.0405
2457129.72464 g 18.7345 0.0296
2457129.72812 g 18.8022 0.0519
2457129.75711 g 18.7936 0.0394
2457129.76059 g 18.8389 0.054
2457130.239485 g 18.7652 0.0361
2457130.7149 g 18.9541 0.0458
2457130.71838 g 18.7879 0.0614
2457130.74978 g 18.8616 0.0436
2457130.75325 g 18.8268 0.0571
2457131.23828 g 18.9575 0.0287
2457131.72678 g 19.0855 0.0446
2457131.73025 g 19.114 0.0558
2457131.7616 g 18.9542 0.0417
2457131.76508 g 19.1124 0.0575
2457148.68493 g 20.3001 0.1964
2457148.69078 g 19.5096 0.1657
2457153.6805 g 20.3801 0.1276
2457153.71056 g 20.3191 0.1682
2457153.71633 g 20.4 0.1625
2457154.70955 g 20.4646 0.1303
2457154.71532 g 20.0637 0.133
2457155.73944 g 20.4587 0.1266
2457155.74524 g 20.1214 0.1487
2457155.76493 g 20.3457 0.1229
2457155.77072 g 20.3059 0.1222
2457156.2681 g 20.3711 0.0794
2457156.273895 g 20.2904 0.0981
2457156.77127 g 20.4878 0.1499
2457156.79682 g 20.5048 0.147
2457156.80262 g 20.0128 0.1595
2457160.78471 g 20.649 0.1265
2457160.7905 g 20.4711 0.1523
2457160.81019 g 20.7731 0.1525
2457160.81597 g 20.2838 0.1431
