No data from PTF
 
2457102.30725 g 20.8302 0.1487
2457102.76772 g 20.4195 0.1812
2457102.80103 g 20.4973 0.1628
2457103.77023 g 20.7303 0.2048
2457103.80352 g 20.5292 0.1794
2457104.294 g 20.4147 0.1122
2457104.78448 g 20.3508 0.1678
2457104.81596 g 20.2861 0.1842
2457107.76244 g 19.9132 0.1567
2457107.79426 g 20.2625 0.1406
2457108.74383 g 20.3527 0.1904
2457108.78397 g 19.7471 0.1707
2457109.2482 g 20.0156 0.1232
2457109.74602 g 19.9345 0.1953
2457112.22792 g 20.4453 0.1425
2457122.75775 g 20.8168 0.2011
2457130.245285 g 21.6947 0.1923
