No data from PTF
 
2456327.9287 R 20.0807 0.1843
2456327.9685 R 20.8819 0.1807
2456328.86998 R 20.3822 0.1664
2456329.02772 R 20.8408 0.1828
2456329.9283 R 20.7972 0.1651
2456329.98752 R 20.7002 0.1421
2456330.02362 R 20.7893 0.1711
2456366.7636 R 20.6724 0.1732
2456368.85608 R 20.9149 0.139
2456368.85608 R 20.2197 0.1129
2456368.88641 R 20.3122 0.1888
2456369.81846 R 20.8564 0.1509
2456369.84781 R 20.8408 0.1226
2456382.77249 R 20.9445 0.1714
2456382.77249 R 20.4659 0.1523
2456382.8026 R 20.1279 0.1616
2456385.7322 R 20.6782 0.1425
2456386.73421 R 20.1465 0.1193
2456386.76337 R 20.1423 0.101
2456386.76337 R 19.9431 0.1111
2456389.85425 R 20.5696 0.1584
2456389.88389 R 19.814 0.1347
2456389.88389 R 20.5439 0.1121
2456392.72226 R 20.329 0.16
2456400.84403 R 20.5728 0.1607
2456400.87304 R 20.6255 0.1374
2456400.90313 R 20.8634 0.1731
2456413.69994 R 20.6238 0.167
2456413.72987 R 20.0064 0.1261
2456413.72987 R 20.7018 0.1496
2456415.66708 R 19.4652 0.0978
2456415.89669 R 20.5047 0.1831
2456417.76339 R 20.1014 0.1014
2456423.77079 R 20.7661 0.1868
2456423.77079 R 20.9059 0.1697
2456423.80178 R 20.4159 0.1664
2456424.708 R 20.8395 0.1922
2456424.82642 R 20.8902 0.1495
2456424.82642 R 20.6554 0.1265
2456425.81609 R 20.5565 0.1364
2456425.81609 R 20.2826 0.1455
2456426.84111 R 20.3474 0.1823
2456444.70125 R 19.5459 0.1751
2456446.78355 R 19.8698 0.1969
2456450.71976 R 20.2786 0.2044
2456451.77064 R 20.7611 0.162
2456741.94553 R 20.5078 0.1421
2456756.882725 R 20.6699 0.1379
2456765.895105 R 20.7452 0.182
2456766.95042 R 20.0889 0.1833
2456778.79345 R 20.3311 0.1448
2456781.79815 R 20.1539 0.1409
2456782.87262 R 20.0759 0.132
2456802.77924 R 20.8298 0.2066
2456803.77569 R 20.1941 0.125
2456805.7406 R 20.5888 0.147
2457504.80615 R 18.31 0.0575
2457508.78053 g 17.8415 0.0222
2457508.79489 g 17.8707 0.0147
2457508.80925 g 17.8887 0.0209
2457510.8103 g 17.838 0.0208
2457510.8251 g 17.8343 0.0143
2457510.8399 g 17.8126 0.0211
2457511.77773 g 17.8431 0.0209
2457511.80728 g 17.854 0.0168
2457511.80728 g 17.8324 0.0234
2457511.83696 g 17.8472 0.0221
2457512.77772 g 17.8511 0.0209
2457512.80723 g 17.8195 0.0203
2457513.76697 g 17.9102 0.0207
2457513.76697 g 17.9092 0.0132
2457513.79663 g 17.9128 0.0205
2457513.82624 g 17.9438 0.0209
2457519.77089 g 18.2046 0.0259
2457519.80194 g 18.1268 0.0326
2457519.83152 g 18.2234 0.0388
2457520.297685 g 18.2093 0.0166
2457520.76385 g 18.219 0.0329
2457520.79534 g 18.3562 0.0319
2457520.82936 g 18.2093 0.0288
2457521.77299 g 18.3254 0.0354
2457521.80235 g 18.3811 0.0388
2457521.80235 g 18.3802 0.0258
2457521.83317 g 18.3806 0.0344
