No data from PTF
 
2457510.75653 g 20.1731 0.2023
2457510.78578 g 20.3684 0.1898
2457510.78578 g 20.1782 0.1469
2457510.8153 g 20.4316 0.1837
2457511.75218 g 19.8929 0.1705
2457511.78271 g 19.8292 0.1162
2457511.78271 g 19.4847 0.1413
2457511.81226 g 20.0501 0.1912
2457512.75303 g 19.6242 0.1014
2457512.78267 g 19.304 0.1053
2457512.81222 g 19.8564 0.1161
2457513.27724 g 19.5739 0.046
2457513.74226 g 19.4483 0.0765
2457513.77196 g 19.3907 0.0989
2457513.80166 g 19.4758 0.1027
2457519.74638 g 18.728 0.0447
2457519.77595 g 18.7544 0.0371
2457519.77595 g 18.8221 0.0559
2457519.80691 g 18.7506 0.1406
2457520.7377 g 18.6614 0.0629
2457520.76919 g 18.7265 0.0556
2457520.80058 g 18.6216 0.0594
2457521.74853 g 18.8545 0.0689
2457521.77797 g 18.6362 0.0623
2457521.77797 g 18.7496 0.0454
2457521.80874 g 18.624 0.067
