No data from PTF
 
2457510.88872 g 20.754 0.1591
2457511.88608 g 21.0478 0.196
2457511.88608 g 21.1706 0.1865
2457519.88045 g 19.635 0.1534
2457519.91038 g 19.6863 0.1204
2457520.37932 g 18.959 0.0303
2457520.84826 g 18.4831 0.0398
2457520.87756 g 18.7178 0.0421
2457520.90694 g 18.5376 0.0426
2457521.85222 g 17.9262 0.023
2457521.88172 g 17.8285 0.0273
2457521.881775 g 17.871 0.0165
2457521.91133 g 17.85 0.0239
2457522.91219 g 17.5485 0.0189
2457525.80394 g 16.5481 0.0231
2457525.85308 R 16.6976 0.0259
2457526.35354 R 16.6295 0.0149
2457526.74985 g 16.4182 0.0173
2457526.74985 g 16.41 0.0124
2457526.79922 g 16.3599 0.0173
2457526.854 R 16.5716 0.0202
2457527.77235 g 16.1162 0.0171
2457527.79479 g 16.1408 0.0117
2457527.81723 g 16.165 0.0179
2457527.86483 R 16.3774 0.0181
2457544.69781 g 15.3257 0.0044
2457544.73252 g 15.3224 0.0043
2457544.76781 R 15.4724 0.0049
2457548.71858 g 15.5663 0.005
2457548.75108 g 15.619 0.005
2457548.7865 R 15.7117 0.0057
2457552.67947 g 15.9364 0.0087
2457552.71383 g 15.9444 0.0086
