No data from PTF
 
2457521.9649 g 21.3041 0.1823
2457538.69481 R 20.0663 0.1635
2457538.88347 g 19.7246 0.1074
2457539.78556 R 19.9214 0.1512
2457539.799715 R 19.9769 0.0916
2457539.81387 R 20.007 0.1209
2457539.84741 g 19.843 0.1398
2457539.86379 g 19.9723 0.0893
2457539.88017 g 20.0066 0.1437
2457545.78885 R 19.9994 0.1687
2457545.82399 g 19.9805 0.1257
2457545.85822 g 20.0186 0.136
2457546.79492 R 19.6691 0.1351
2457549.7902 R 20.4773 0.1743
2457549.82524 g 20.5653 0.1579
2457549.85957 g 20.7878 0.1819
2457550.87891 g 20.502 0.1995
