No data from PTF
 
2457423.97544 g 19.7855 0.1358
2457423.99651 g 19.4212 0.0942
2457424.01758 g 19.7165 0.1536
2457424.9585 R 19.579 0.0929
2457425.00206 R 19.2258 0.0752
2457425.00206 R 19.0405 0.0685
2457425.06369 R 19.2534 0.0994
2457425.70822 R 19.3128 0.1636
2457425.74983 R 19.1187 0.08
2457425.79144 R 19.3923 0.0915
2457426.9539 g 18.5678 0.0414
2457426.973215 g 18.5169 0.0278
2457426.99253 g 18.5303 0.041
2457429.96458 g 18.4488 0.0367
2457429.98533 g 18.4948 0.0251
2457430.00608 g 18.4697 0.0383
2457432.90774 g 18.5759 0.0366
2457432.92961 g 18.57 0.0257
2457432.95148 g 18.5255 0.0417
