No data from PTF
 
2457636.98979 R 19.2156 0.0599
2457637.02271 g 19.6477 0.1603
2457639.99434 g 19.6612 0.0639
2457658.91654 R 19.5697 0.1198
2457659.95775 g 20.0655 0.1235
2457664.90836 R 20.3649 0.1524
2457664.94581 g 19.871 0.0965
2457666.99228 R 19.8664 0.1767
2457667.90937 R 20.3129 0.1961
2457667.9448 g 20.008 0.155
2457668.89872 R 19.9376 0.1459
2457668.93742 g 20.3349 0.1121
2457669.95567 R 20.3941 0.1342
2457669.99571 g 19.9915 0.1208
2457670.90874 R 19.7519 0.1438
2457670.9461 g 20.0624 0.1339
2457717.78946 g 21.0447 0.1993
