No data from PTF
 
2457614.79642 R 19.3707 0.1677
2457614.83249 R 19.8006 0.1288
2457615.81507 R 19.9504 0.1788
2457623.80657 R 19.7978 0.1671
2457623.86153 R 19.6961 0.1403
2457624.79427 R 19.6735 0.1258
2457624.84797 R 19.7438 0.1697
2457625.79295 R 19.8078 0.1188
2457626.81161 R 19.5382 0.115
2457627.81525 R 19.4595 0.1018
2457628.80516 R 19.7521 0.0941
2457629.79854 R 19.6468 0.0926
2457630.84063 R 19.6687 0.1201
2457631.83208 R 19.6717 0.1054
2457632.8214 R 19.5975 0.1102
2457633.85572 R 19.7844 0.1061
2457635.838 R 19.8256 0.1147
2457636.83856 R 20.0827 0.121
2457637.83366 R 19.8658 0.1457
2457638.83326 R 19.9107 0.1049
2457639.842 R 20.1016 0.1215
2457640.82907 R 20.0518 0.1392
2457641.82218 R 19.7087 0.1201
2457641.87016 R 20.2721 0.1363
2457642.81382 R 20.3951 0.2166
2457642.85988 R 20.0459 0.1558
2457643.81234 R 19.8464 0.1562
2457655.7913 R 20.4104 0.203
2457657.74817 R 20.2659 0.2104
2457658.75397 R 20.3517 0.1991
2457659.74778 R 20.2829 0.158
2457661.78302 R 20.7613 0.1876
2457667.74788 R 20.6168 0.1619
