No data from PTF
 
2457625.96931 R 18.4165 0.0562
2457626.00558 g 18.7614 0.0778
2457654.88612 g 19.6594 0.0975
2457657.82387 R 18.1034 0.0481
2457657.87341 g 19.7831 0.0874
2457660.83608 R 18.0491 0.0479
2457660.88435 g 19.6255 0.0769
2457663.87603 R 17.7278 0.0471
2457663.92043 g 19.7938 0.0859
2457666.83414 R 17.9552 0.0534
2457666.88219 g 19.8097 0.0815
2457681.73365 g 19.6649 0.1639
2457681.78343 R 18.0346 0.0703
2457682.62556 R 18.9461 0.0835
2457682.67998 g 20.0871 0.1193
2457683.62341 R 19.1058 0.069
2457683.67641 g 20.1463 0.1518
2457684.73639 g 19.8222 0.1292
2457684.78507 R 17.6516 0.0487
2457687.72847 g 20.6399 0.1878
2457687.77782 R 17.8333 0.058
2457688.63014 R 17.8469 0.0654
2457688.682 g 20.316 0.1649
2457695.62068 R 19.6877 0.1112
2457696.75656 R 19.3529 0.1274
2457697.61725 R 20.0143 0.122
2457698.61264 R 20.1783 0.182
2457699.74056 R 18.6096 0.1089
