No data from PTF
 
2457625.74661 g 19.6325 0.0888
2457625.78214 R 19.3775 0.0836
2457626.76368 g 19.7428 0.0772
2457626.80132 R 19.2826 0.0659
2457627.7685 g 19.6546 0.082
2457627.80417 R 19.2032 0.0775
2457628.75433 g 19.7977 0.106
2457628.79236 R 19.3878 0.0793
2457629.74838 g 19.8371 0.0794
2457629.78491 R 19.5917 0.0817
2457630.75641 g 19.8976 0.0821
2457630.79197 R 19.5079 0.0751
2457631.74273 g 20.1419 0.0918
2457631.7805 R 19.4318 0.0774
2457632.7356 g 20.0357 0.0948
2457632.77192 R 19.6572 0.0796
2457633.76961 g 20.1715 0.0853
2457635.75383 g 20.2448 0.0981
2457635.79078 R 19.9033 0.1002
2457636.79174 R 19.9125 0.1008
2457637.74777 g 20.2253 0.1449
2457637.78495 R 19.7003 0.1177
2457638.74962 g 20.3122 0.1436
2457638.78494 R 20.1513 0.1126
2457639.75626 R 19.9624 0.1095
2457639.79257 g 20.9178 0.1845
2457640.744 R 20.0397 0.0998
2457640.77955 g 21.0489 0.1506
2457641.73171 R 20.0235 0.1398
2457642.72595 R 19.9726 0.1462
2457643.73019 R 19.879 0.1421
2457655.64712 R 20.5452 0.2109
