No data from PTF
 
2457625.66707 R 19.8435 0.1313
2457625.70241 g 19.8038 0.0938
2457627.68611 R 19.7475 0.1093
2457627.72416 g 19.7633 0.1254
2457628.66904 R 19.6619 0.1513
2457628.7067 g 19.679 0.1024
2457629.66698 R 19.6972 0.1368
2457629.7031 g 19.8821 0.1046
2457630.67472 R 19.7248 0.1512
2457630.71227 g 20.078 0.0984
2457631.65822 R 19.3655 0.1434
2457631.69567 g 20.1738 0.1303
2457632.65479 R 19.7938 0.1357
2457632.69064 g 20.023 0.1114
2457633.68054 R 19.76 0.103
2457633.72138 g 20.2115 0.0993
2457634.71647 g 20.362 0.1374
2457637.6647 R 20.1663 0.158
2457638.65963 R 19.7943 0.1765
2457638.70054 g 20.9298 0.1743
2457639.7108 R 20.397 0.1419
2457641.68326 R 20.5516 0.1947
