No data from PTF
 
2457625.80696 R 19.0148 0.073
2457625.84272 g 18.9018 0.0755
2457626.82642 R 18.9967 0.0639
2457627.82932 R 18.8773 0.0564
2457627.86543 g 18.7808 0.055
2457628.82019 R 18.8072 0.0507
2457628.8584 g 18.7811 0.0433
2457629.81537 R 18.8497 0.0488
2457629.85209 g 18.6965 0.0398
2457630.80984 R 18.8878 0.0514
2457630.86117 g 18.7227 0.0415
2457631.79935 R 18.8878 0.0489
2457631.85397 g 18.7562 0.0489
2457632.78997 R 18.8349 0.047
2457632.84247 g 18.8176 0.0478
2457633.82523 R 18.7629 0.0424
2457633.87505 g 18.8738 0.0448
2457634.81983 R 18.7563 0.0433
2457635.80865 R 18.6762 0.0453
2457635.85847 g 18.8439 0.0478
2457636.80909 R 18.8046 0.0449
2457636.86003 g 19.0208 0.0493
2457637.80409 R 19.0016 0.0587
2457637.85429 g 19.0305 0.058
2457638.80394 R 18.983 0.0557
2457638.8537 g 19.0331 0.0492
2457639.81013 g 19.0857 0.0445
2457639.86206 R 19.0712 0.0523
2457640.7975 g 19.1684 0.0585
2457640.84922 R 19.1352 0.057
2457641.78885 g 19.1788 0.0872
2457641.84361 R 19.0857 0.0536
2457642.78317 g 19.1225 0.0778
2457642.83443 R 19.1588 0.0694
2457643.78361 g 19.2853 0.1357
2457643.83122 R 19.3192 0.0826
2457656.634 R 19.7043 0.0961
2457662.61462 R 19.8394 0.1303
2457668.60877 R 20.1836 0.1359
