No data from PTF
 
2457625.74197 g 20.4852 0.1484
2457625.77749 R 19.2668 0.1004
2457626.75873 g 20.5448 0.2005
2457626.79635 R 19.1662 0.0925
2457627.79946 R 19.286 0.1029
2457628.78737 R 19.5716 0.1087
2457629.7801 R 19.2785 0.1064
2457630.7873 R 19.3884 0.1101
2457631.77553 R 19.4742 0.1073
2457632.76715 R 19.5201 0.1221
2457633.80332 R 19.7352 0.1181
2457635.78613 R 19.8222 0.142
2457636.78688 R 20.0009 0.1391
2457637.78027 R 20.1811 0.1425
2457638.7803 R 19.6653 0.1451
2457639.75134 R 20.3829 0.1324
2457640.73935 R 20.7088 0.2114
2457641.72671 R 20.4069 0.1723
2457655.64095 R 20.0962 0.1811
2457658.65829 R 19.7283 0.1546
2457670.62647 R 20.5215 0.1714
