No data from PTF
 
2457625.80115 R 19.5446 0.1102
2457625.83685 g 19.5014 0.1198
2457626.82024 R 19.5698 0.1114
2457626.85684 g 19.3017 0.0789
2457627.82345 R 19.5283 0.1075
2457627.85934 g 19.4637 0.0737
2457628.81395 R 19.4963 0.0843
2457628.85214 g 19.649 0.0714
2457629.80935 R 19.7687 0.0965
2457629.84606 g 19.5433 0.0654
2457630.80397 R 19.564 0.1128
2457630.8553 g 19.4607 0.0697
2457631.79311 R 19.2942 0.1024
2457631.84772 g 19.4777 0.0663
2457632.784 R 19.4658 0.1062
2457632.83645 g 19.4913 0.0833
2457633.82014 R 19.4888 0.1041
2457633.86924 g 19.4245 0.0753
2457635.80282 R 19.7856 0.1399
2457635.85266 g 19.6122 0.0838
2457636.80301 R 20.075 0.1335
2457636.85388 g 19.8753 0.0789
2457637.79825 R 19.9479 0.1007
2457637.84843 g 19.6957 0.0913
2457638.7981 R 20.0838 0.122
2457638.84788 g 19.7955 0.0995
2457639.80396 g 19.9301 0.077
2457639.85583 R 19.8628 0.1004
2457640.79162 g 20.3683 0.126
2457640.84334 R 19.9619 0.1216
2457641.7826 g 19.9861 0.1454
2457641.83734 R 19.8932 0.1325
2457642.77711 g 20.2267 0.2027
2457642.82841 R 20.246 0.1459
2457643.82538 R 20.2003 0.144
