No data from PTF
 
2457627.89878 g 18.1934 0.0324
2457630.89193 g 17.9381 0.0238
2457630.92941 R 18.0191 0.0386
2457633.90547 g 17.9612 0.0205
2457636.89101 g 18.0406 0.0238
2457636.92765 R 18.0217 0.034
2457639.89573 R 17.9822 0.0276
2457639.93262 g 18.1798 0.0235
2457654.89562 g 19.5124 0.0918
2457654.93219 R 18.8316 0.0775
2457655.80591 g 19.2676 0.0753
2457655.84302 R 18.9889 0.0799
2457656.81743 g 19.5639 0.0987
2457656.86205 R 18.4249 0.07
2457657.88294 g 19.6062 0.0822
2457657.92677 R 19.0244 0.0764
2457658.81591 g 19.7741 0.0864
2457658.85328 R 18.8982 0.0592
2457659.81317 g 19.8826 0.0875
2457659.85693 R 18.8324 0.0635
2457660.89448 g 19.9074 0.0956
2457660.93207 R 18.8647 0.0826
2457661.79682 g 19.8738 0.0974
2457661.83514 R 18.9162 0.0658
2457664.80729 g 20.1207 0.1033
2457664.84466 R 18.9673 0.0624
2457666.89198 g 20.2463 0.1135
2457666.92962 R 18.8511 0.0621
2457667.80948 g 20.4193 0.1266
2457667.84715 R 19.1002 0.0899
2457668.78887 g 20.3129 0.1081
2457668.83396 R 19.3013 0.0729
2457670.80179 g 20.648 0.1841
2457670.84179 R 18.9313 0.0809
2457682.76615 R 19.6827 0.1489
2457694.76118 R 19.9385 0.164
2457697.74174 R 19.8021 0.1797
