No data from PTF
 
2457627.98351 R 19.1882 0.059
2457630.96852 R 19.1749 0.1053
2457633.99265 R 19.2073 0.0588
2457636.97233 R 19.1613 0.0587
2457637.00529 g 20.0496 0.1022
2457639.97161 g 20.1755 0.0993
2457640.01264 R 19.0812 0.0716
2457654.97397 R 19.4442 0.0992
2457655.88285 R 19.2681 0.0904
2457656.90221 R 19.3836 0.1099
2457657.96862 R 19.6051 0.0964
2457658.89369 R 19.6457 0.0893
2457660.97274 R 19.8728 0.1135
2457661.87624 R 19.9636 0.1162
2457663.96172 R 19.8312 0.1196
2457664.88472 R 19.6851 0.1352
2457665.88863 R 20.1763 0.1354
2457665.8898 R 20.1891 0.142
2457666.97012 R 20.2953 0.1805
2457668.87543 R 20.5477 0.1528
2457669.93288 R 20.1597 0.1845
2457670.88471 R 20.0631 0.1668
2457671.75432 R 19.7871 0.1447
2457671.76155 R 20.6453 0.1907
2457671.76877 R 20.3953 0.2149
2457671.77606 R 20.2983 0.1514
2457671.7833 R 20.5958 0.1851
2457671.79056 R 20.5287 0.1698
2457671.79784 R 20.6438 0.1636
2457671.80509 R 20.2122 0.1333
2457671.81235 R 20.5202 0.1604
2457671.81963 R 20.1092 0.1832
2457671.82693 R 20.5612 0.1678
2457671.83425 R 20.0703 0.1243
2457671.84154 R 20.7318 0.1842
2457671.84883 R 20.4503 0.1902
2457671.85612 R 20.2905 0.1304
2457671.86345 R 20.6885 0.1585
2457671.87081 R 20.7647 0.1711
2457671.87814 R 20.3418 0.1805
2457671.88549 R 20.4231 0.1495
2457671.89282 R 20.1068 0.16
2457671.90017 R 20.5523 0.1633
2457671.90752 R 20.2756 0.1384
2457671.91488 R 20.3815 0.1424
2457671.92225 R 20.261 0.1381
2457671.92969 R 20.8423 0.1939
2457671.93711 R 20.0749 0.126
2457671.94456 R 20.454 0.1725
2457671.95198 R 20.5792 0.18
2457671.96677 R 20.0908 0.1363
2457671.9742 R 20.247 0.1538
2457672.77837 R 20.0708 0.1332
2457672.78531 R 20.4934 0.1566
2457672.80635 R 20.3859 0.1471
2457672.8134 R 20.3811 0.159
2457672.82731 R 19.9411 0.179
2457672.83428 R 20.3882 0.1456
2457672.84124 R 20.5719 0.1694
2457672.84819 R 20.5985 0.2008
2457672.8622 R 20.5213 0.2079
2457672.86918 R 20.2862 0.1862
2457672.87617 R 20.3508 0.1469
2457672.88317 R 20.4871 0.1819
2457672.89015 R 21.0174 0.217
2457672.90424 R 20.5108 0.1514
2457672.91123 R 20.4403 0.134
2457672.9183 R 20.5877 0.2044
2457672.93229 R 20.0326 0.1542
2457672.93931 R 20.3481 0.1665
2457672.94632 R 20.1772 0.1287
2457672.95332 R 19.9906 0.1866
2457672.96738 R 20.3783 0.1632
2457672.97441 R 20.1548 0.2078
2457673.769 R 20.2691 0.1558
2457673.77635 R 19.9431 0.2122
2457673.78372 R 19.9486 0.2074
2457673.79108 R 20.272 0.1619
2457673.82063 R 20.6242 0.1849
2457673.84291 R 20.3058 0.1606
2457673.8503 R 20.5187 0.1872
2457673.85777 R 20.0906 0.1715
2457673.8652 R 20.2918 0.1919
2457673.87262 R 20.1326 0.2064
2457673.88003 R 20.2875 0.1578
2457673.89491 R 20.3368 0.2105
2457673.90235 R 20.054 0.1699
2457673.9098 R 20.2752 0.145
2457673.91726 R 20.3533 0.1445
2457673.92475 R 20.441 0.191
2457673.93221 R 20.425 0.1403
2457673.93973 R 20.184 0.1225
2457673.9472 R 20.457 0.1529
2457673.95469 R 20.4364 0.1617
2457673.96218 R 20.3271 0.1553
2457674.7311 R 20.3148 0.2118
2457698.78418 R 20.7109 0.1598
