No data from PTF
 
2457627.90941 g 20.0292 0.1039
2457627.94727 R 19.6631 0.1014
2457630.89899 g 19.4704 0.166
2457630.9365 R 19.4935 0.1214
2457633.91244 g 19.5061 0.0633
2457636.89963 g 19.7833 0.0848
2457636.93752 R 19.4268 0.0748
2457639.90946 R 18.9321 0.0526
2457639.94523 g 19.6081 0.065
2457654.90274 g 19.9787 0.118
2457654.93932 R 19.0161 0.1024
2457655.81287 g 19.3412 0.1028
2457655.85005 R 19.1459 0.0684
2457656.82494 g 19.8446 0.0869
2457656.86956 R 19.1724 0.0865
2457657.89006 g 19.8653 0.1021
2457657.93512 R 19.302 0.0873
2457658.82218 g 19.8022 0.0959
2457658.86083 R 19.1362 0.0684
2457659.82024 g 19.8531 0.1195
2457659.86405 R 19.3991 0.0811
2457660.90078 g 19.7492 0.0879
2457660.94355 R 19.3468 0.0934
2457661.80402 g 19.8603 0.1112
2457661.84235 R 19.4036 0.0844
2457663.92795 g 20.0035 0.0974
2457663.9465 R 19.4098 0.087
2457664.81431 g 20.0413 0.1375
2457664.85171 R 19.524 0.0791
2457666.89933 g 20.0342 0.0954
2457666.93819 R 19.1031 0.0751
2457667.81705 g 20.1066 0.1057
2457667.85477 R 19.5677 0.1061
2457668.79613 g 20.1133 0.102
2457668.84124 R 19.3832 0.0892
2457670.80933 g 20.0828 0.1153
2457670.84936 R 19.4367 0.082
2457682.70435 g 20.5183 0.1526
2457682.77309 R 19.3536 0.1234
2457688.70568 g 19.802 0.1555
2457688.75348 R 19.495 0.114
2457694.76815 R 19.7123 0.0962
2457697.69869 g 20.6859 0.1494
2457697.74934 R 19.6242 0.1181
2457700.743 R 20.0516 0.1322
2457715.66013 g 20.1163 0.1241
2457715.70032 R 19.6184 0.1077
2457718.6498 g 20.6128 0.1945
2457718.69041 R 20.0605 0.1611
