No data from PTF
 
2457634.93087 R 19.2958 0.0612
2457637.87898 g 18.3775 0.0296
2457637.9155 R 18.4512 0.0345
2457640.87863 R 17.7651 0.0207
2457640.91476 g 17.7097 0.018
2457643.86535 R 17.4905 0.0195
2457643.90117 g 17.3185 0.0141
2457655.70434 g 17.3736 0.0162
2457655.75826 R 17.4141 0.0192
2457656.70704 g 17.4626 0.0162
2457656.7701 R 17.5179 0.018
2457657.71122 g 17.5037 0.0169
2457657.7581 R 17.5523 0.018
2457658.71937 g 17.5576 0.0178
2457658.76934 R 17.5959 0.0246
2457659.76497 R 17.6804 0.0205
2457661.70091 g 17.8252 0.0202
2457661.75025 R 17.8155 0.0223
2457662.68858 g 17.9077 0.0215
2457663.68559 g 17.9374 0.0223
2457663.73465 R 17.9349 0.024
2457664.71387 g 18.1111 0.0304
2457664.76183 R 17.957 0.0261
2457666.71201 g 18.2724 0.026
2457666.76899 R 17.9795 0.024
2457667.76313 R 18.0462 0.026
2457668.67941 g 18.5277 0.0354
2457668.73823 R 18.0465 0.0265
2457669.67771 g 18.5514 0.0542
2457669.73103 R 17.98 0.0994
2457670.69476 g 18.6703 0.0446
2457670.74954 R 18.0394 0.0285
2457681.61763 R 18.4694 0.0487
2457681.67233 g 19.2837 0.1098
2457687.61742 R 19.0351 0.0545
2457687.67059 g 19.8758 0.1091
2457696.59853 R 19.2319 0.0845
2457696.64605 g 20.0311 0.0956
2457699.63734 g 20.3007 0.1394
2457715.59167 R 19.9036 0.1003
2457715.62896 g 20.8053 0.1715
2457718.58003 R 19.9588 0.1356
2457718.61834 g 20.6892 0.1924
