No data from PTF
 
2457654.97155 R 19.4208 0.0887
2457655.00852 g 19.1268 0.0885
2457655.8805 R 19.3769 0.0708
2457655.91399 g 19.1758 0.0679
2457656.89968 R 19.3159 0.0757
2457657.96622 R 19.3045 0.0732
2457657.99833 g 19.0364 0.0715
2457658.89117 R 19.3797 0.0679
2457658.92605 g 19.3952 0.1161
2457659.93258 g 18.9551 0.0521
2457660.97021 R 19.347 0.0701
2457661.00361 g 19.0611 0.0666
2457661.87382 R 19.427 0.0632
2457661.91079 g 19.13 0.0493
2457664.88235 R 19.506 0.075
2457664.92083 g 19.2638 0.0608
2457665.88618 R 19.544 0.0789
2457665.88736 R 19.5252 0.0745
2457666.96766 R 19.6286 0.0904
2457667.92043 g 19.4588 0.1025
2457668.87297 R 19.6946 0.0826
2457668.91162 g 19.6652 0.0723
2457669.93049 R 19.7603 0.0945
2457669.96846 g 19.8968 0.1139
2457670.88219 R 19.9404 0.0973
2457670.92078 g 19.82 0.0989
2457683.79491 R 20.4251 0.155
