No data from PTF
 
2457654.85541 g 18.9886 0.0625
2457657.79101 R 18.893 0.0571
2457657.84036 g 19.1639 0.0528
2457660.8035 R 19.0559 0.0561
2457660.85169 g 19.1269 0.0553
2457663.84245 R 18.9725 0.0489
2457663.88661 g 19.2551 0.0594
2457666.8015 R 19.0131 0.0572
2457666.84933 g 19.4496 0.0673
2457669.76403 R 19.387 0.1665
2457681.75065 R 19.8357 0.1335
2457682.61247 R 19.8563 0.1085
2457683.61005 R 19.3487 0.0834
2457684.7553 R 19.6705 0.1419
2457687.74766 R 19.7215 0.1116
2457688.61737 R 20.0748 0.1291
2457696.72174 R 20.8576 0.2104
2457698.59936 R 20.4756 0.1656
