No data from PTF
 
2457654.89918 g 17.6628 0.0269
2457654.93575 R 17.8559 0.033
2457655.80939 g 17.4553 0.0182
2457655.84652 R 17.5824 0.0242
2457656.8212 g 17.3416 0.0162
2457656.86581 R 17.4401 0.022
2457657.8865 g 17.1857 0.0155
2457657.93154 R 17.3703 0.0209
2457658.81968 g 17.1302 0.0148
2457658.85706 R 17.3083 0.0179
2457659.86049 R 17.2777 0.0167
2457660.89699 g 16.9802 0.0131
2457660.93587 R 17.1834 0.0169
2457661.80042 g 16.9479 0.0122
2457661.83875 R 17.1461 0.0147
2457663.92419 g 16.9157 0.0123
2457663.94273 R 17.0991 0.0157
2457664.8108 g 16.9244 0.0123
2457664.84818 R 17.0961 0.0149
2457665.81262 g 16.9218 0.0117
2457665.81377 g 16.9151 0.0117
2457665.85438 R 17.0418 0.0146
2457665.85553 R 17.0573 0.0145
2457666.89567 g 16.946 0.0123
2457666.93451 R 17.0539 0.0147
2457667.81326 g 16.9414 0.0138
2457667.85095 R 17.058 0.0158
2457668.79249 g 16.9882 0.0122
2457668.83759 R 17.0729 0.0149
2457669.85795 g 17.1046 0.0494
2457669.89705 R 17.0917 0.0353
2457670.80554 g 17.0691 0.0136
2457670.84558 R 17.1882 0.0155
2457682.70073 g 17.9088 0.0245
2457682.76962 R 17.825 0.0277
2457688.70219 g 18.5339 0.0549
2457688.74998 R 17.7827 0.0651
2457694.76466 R 17.8652 0.0306
2457697.69488 g 18.9115 0.0571
2457697.74553 R 18.0489 0.0299
2457700.69554 g 19.3432 0.0887
2457700.73922 R 18.1642 0.0393
2457717.64682 g 19.7987 0.103
2457717.68725 R 19.111 0.0968
2457723.65207 g 19.4379 0.122
2457723.68913 R 19.1605 0.077
