No data from PTF
 
2457655.81171 g 20.2988 0.1415
2457656.82369 g 20.3914 0.1668
2457656.86831 R 20.2696 0.1477
2457657.88887 g 19.922 0.1214
2457657.93392 R 19.8189 0.1655
2457658.85956 R 19.7177 0.1123
2457659.81906 g 19.539 0.0778
2457659.86286 R 19.2684 0.0869
2457660.89951 g 19.2017 0.0793
2457661.80281 g 19.2645 0.0574
2457661.84116 R 19.1849 0.0752
2457663.92669 g 18.9339 0.0468
2457663.94524 R 18.8698 0.0565
2457664.81312 g 18.9053 0.0467
2457664.85053 R 18.792 0.0547
2457665.81503 g 18.8553 0.044
2457665.81619 g 18.9055 0.0449
2457666.89811 g 18.8273 0.0417
2457666.93697 R 18.7842 0.0509
2457667.81579 g 18.8443 0.0497
2457667.8535 R 18.7923 0.0647
2457668.7949 g 18.8476 0.0427
2457668.84003 R 18.7361 0.0522
2457669.86034 g 18.7281 0.1839
2457670.80807 g 18.9135 0.0481
2457670.84809 R 18.6898 0.0601
2457682.70315 g 19.746 0.0997
2457682.77193 R 19.1579 0.1014
2457688.75231 R 19.3257 0.1157
2457694.76699 R 20.0045 0.1383
2457697.74808 R 20.1229 0.1358
2457700.74174 R 19.6081 0.1695
