No data from PTF
 
2457654.93694 R 19.9468 0.2085
2457655.81054 g 20.5444 0.2019
2457655.84772 R 19.8892 0.1646
2457656.82244 g 20.4696 0.1794
2457656.86707 R 19.4216 0.1494
2457657.93274 R 19.7555 0.12
2457658.85831 R 19.8615 0.1104
2457659.81788 g 20.578 0.2142
2457659.86168 R 20.0644 0.1244
2457660.94228 R 20.1438 0.1927
2457661.80162 g 20.9707 0.2015
2457661.83995 R 19.8241 0.0989
2457663.94398 R 19.863 0.1392
2457664.81197 g 20.9928 0.1729
2457664.84936 R 20.1609 0.1409
2457666.93574 R 19.8613 0.1064
2457667.85222 R 19.731 0.194
2457668.83882 R 19.4021 0.1224
2457670.84683 R 19.7684 0.1401
2457682.77078 R 19.605 0.1662
2457688.75115 R 19.6557 0.1492
2457694.76583 R 19.0981 0.1163
2457697.74681 R 19.4679 0.0832
2457700.74049 R 19.1364 0.0977
2457715.65777 g 20.2579 0.1189
2457715.69794 R 18.9317 0.0701
2457718.64741 g 20.2605 0.144
2457718.68799 R 18.7701 0.0673
