No data from PTF
 
2457655.70666 g 17.4429 0.0535
2457655.76058 R 18.6462 0.0596
2457656.77259 R 18.767 0.0507
2457657.71354 g 17.4394 0.0434
2457657.76043 R 18.5646 0.059
2457658.77184 R 18.6708 0.0512
2457659.76731 R 18.5022 0.0529
2457660.71587 g 17.3368 0.0444
2457660.77354 R 18.4871 0.048
2457661.70329 g 17.3422 0.0454
2457661.75264 R 18.4214 0.0497
2457662.75626 R 18.5722 0.0458
2457663.68803 g 17.4303 0.0495
2457663.73711 R 18.5092 0.049
2457664.71619 g 17.4001 0.0639
2457664.76417 R 18.6494 0.0513
2457666.77139 R 18.5818 0.0439
2457667.76566 R 18.6814 0.0508
2457668.74064 R 18.8182 0.0571
2457669.68002 g 17.7887 0.1298
2457670.75203 R 18.9153 0.062
2457671.6845 R 18.7422 0.1015
2457672.6695 R 18.9414 0.0704
2457673.67628 R 19.2745 0.0963
2457674.66466 R 19.1162 0.1236
2457681.61515 R 19.4588 0.1064
2457681.66984 g 18.9977 0.2078
2457687.61505 R 19.742 0.1063
2457696.59619 R 19.8329 0.1425
