No data from PTF
 
2457655.87816 R 19.8034 0.1337
2457656.89716 R 19.7312 0.1529
2457656.93935 g 19.6526 0.1254
2457657.96383 R 19.617 0.157
2457657.99593 g 19.8956 0.1655
2457658.88863 R 19.5955 0.0977
2457658.92352 g 19.6613 0.1602
2457659.93019 g 19.6783 0.1008
2457661.0013 g 19.4861 0.1034
2457661.87141 R 19.3927 0.0802
2457661.90836 g 19.5008 0.0801
2457664.87999 R 19.0673 0.0671
2457664.91846 g 19.3967 0.0821
2457665.88373 R 19.4166 0.0853
2457665.88491 R 19.431 0.0873
2457665.92494 g 19.6487 0.1008
2457666.96521 R 19.2213 0.0815
2457667.00287 g 19.4395 0.1502
2457667.91811 g 19.6886 0.1151
2457668.90913 g 19.6495 0.1222
2457669.9281 R 19.4163 0.1083
2457669.96606 g 19.7353 0.1246
2457670.87966 R 19.3906 0.0891
2457670.91822 g 19.7492 0.1042
