No data from PTF
 
2457656.91606 R 20.3206 0.2168
2457657.98303 R 19.7371 0.1912
2457658.9076 R 19.8638 0.1091
2457659.94935 g 18.9671 0.0535
2457661.01987 g 18.687 0.0531
2457661.89076 R 18.7229 0.0417
2457661.92779 g 18.4293 0.0298
2457663.97303 R 18.2116 0.0314
2457663.99657 g 17.9717 0.0248
2457664.89889 R 18.0919 0.0281
2457664.9375 g 17.7974 0.021
2457665.9036 R 17.9641 0.0264
2457665.90477 R 17.9635 0.0253
2457665.94067 g 17.6518 0.0184
2457665.94179 g 17.6255 0.0183
2457666.98367 R 17.8421 0.0262
2457667.02139 g 17.5902 0.0235
2457667.90126 R 17.7298 0.0247
2457667.93669 g 17.4567 0.0183
2457668.89014 R 17.7294 0.021
2457668.92883 g 17.3836 0.0152
2457669.94727 R 17.6472 0.0232
2457669.98534 g 17.3389 0.0173
2457670.89986 R 17.6183 0.0201
2457670.93848 g 17.3123 0.0148
2457671.73803 g 17.2702 0.0168
2457671.75793 R 17.5864 0.0214
2457671.76275 R 17.5745 0.0217
2457671.76998 R 17.5916 0.0215
2457671.77727 R 17.5834 0.0211
2457671.78451 R 17.577 0.0213
2457671.79177 R 17.6036 0.0209
2457671.79905 R 17.5718 0.0203
2457671.8063 R 17.5852 0.0204
2457671.81355 R 17.5851 0.0201
2457671.82086 R 17.5818 0.0199
2457671.82815 R 17.5421 0.0186
2457671.83546 R 17.5906 0.0189
2457671.84275 R 17.5352 0.0187
2457671.85005 R 17.5512 0.0187
2457671.85734 R 17.554 0.0188
2457671.8647 R 17.5801 0.0188
2457671.87203 R 17.5586 0.019
2457671.87935 R 17.5421 0.0185
2457671.8867 R 17.5514 0.0191
2457671.89405 R 17.5483 0.0196
2457671.9014 R 17.5939 0.0196
2457671.90875 R 17.565 0.0197
2457671.91611 R 17.5991 0.0195
2457671.92348 R 17.5697 0.0195
2457671.93091 R 17.5969 0.0198
2457671.93833 R 17.5856 0.0207
2457671.94579 R 17.6025 0.0211
2457671.95321 R 17.6036 0.0224
2457671.96061 R 17.5289 0.0214
2457671.96801 R 17.5657 0.022
2457671.97543 R 17.5647 0.023
2457672.7626 g 17.2549 0.0183
2457672.78184 R 17.5039 0.0227
2457672.78647 R 17.5462 0.0217
2457672.79345 R 17.5216 0.0209
2457672.80042 R 17.4917 0.0206
2457672.80751 R 17.5385 0.0213
2457672.81456 R 17.5616 0.0208
2457672.82153 R 17.4733 0.0198
2457672.82848 R 17.52 0.0238
