No data from PTF
 
2457664.89417 R 19.572 0.1282
2457664.93271 g 19.6816 0.1215
2457665.8987 R 19.541 0.0927
2457665.89987 R 19.6113 0.0915
2457666.9787 R 19.4649 0.0779
2457667.01645 g 19.1132 0.1004
2457667.89662 R 19.2147 0.0708
2457667.93206 g 18.9876 0.0928
2457668.88521 R 18.932 0.0618
2457668.9239 g 18.9924 0.0506
2457669.94249 R 18.905 0.0571
2457669.98053 g 18.9193 0.0692
2457670.89481 R 18.8599 0.0536
2457670.93343 g 18.7796 0.0423
2457683.80978 R 19.0801 0.0679
2457683.83903 g 19.0263 0.0861
2457695.81219 R 19.1498 0.0925
2457695.84663 g 20.3325 0.1837
2457698.79652 R 19.6111 0.0783
2457698.83171 g 20.2999 0.1874
2457723.72779 R 20.3763 0.1516
