No data from PTF
 
2457667.96804 g 20.1361 0.1556
2457668.00763 R 20.3279 0.2112
2457670.97003 g 19.531 0.079
2457671.00937 R 19.7916 0.16
2457681.81749 R 19.1909 0.0772
2457681.85612 g 19.1605 0.1002
2457682.82944 R 19.0984 0.0687
2457682.86723 g 19.2539 0.0854
2457683.71086 g 19.2319 0.0582
2457683.75863 R 19.1342 0.0623
2457684.8187 R 19.2784 0.1054
2457687.81186 R 19.1902 0.0736
2457687.84907 g 19.4462 0.0823
2457688.81228 R 19.4613 0.1691
2457688.8506 g 19.9094 0.1561
2457694.82458 R 19.85 0.1327
2457694.86258 g 19.9873 0.1747
2457695.71312 g 20.3362 0.1195
2457695.76118 R 19.7822 0.1044
2457696.79038 R 19.6358 0.0924
2457696.82808 g 20.143 0.1316
2457697.85485 g 20.2938 0.1229
2457698.70066 g 20.5145 0.1227
2457698.74685 R 19.7886 0.0893
2457699.77271 R 19.6689 0.1042
2457699.80993 g 20.4458 0.1323
2457700.79887 R 19.7486 0.138
2457700.84152 g 20.5029 0.1456
2457701.72501 R 19.8967 0.1852
2457716.60147 R 20.2865 0.1541
