No data from PTF
 
2457694.78674 R 19.4972 0.0887
2457694.79022 R 19.3488 0.0898
2457694.801 R 19.3073 0.1113
2457695.78488 R 19.2914 0.0903
2457695.79606 R 18.9564 0.1006
2457695.83025 g 19.3147 0.0751
2457696.71583 R 18.956 0.0806
2457696.7677 R 19.1866 0.0697
2457697.72285 g 18.9695 0.0504
2457697.76971 R 19.0545 0.0588
2457697.77351 R 19.0605 0.0649
2457697.78598 R 18.8754 0.0674
2457698.76943 R 18.8399 0.0572
2457698.7805 R 18.9855 0.0609
2457698.81561 g 19.0689 0.055
2457699.70536 R 18.7374 0.0796
2457699.75038 R 19.0124 0.0682
2457700.76322 R 18.9088 0.069
2457700.767 R 18.8766 0.0639
2457700.7734 R 18.8294 0.0657
2457715.66603 g 19.1253 0.0849
2457715.70625 R 19.082 0.081
2457716.70823 R 19.2279 0.1047
2457716.71981 R 19.2921 0.1226
2457717.69097 R 19.2169 0.0809
2457717.72586 R 19.1862 0.0922
2457717.7758 g 19.5169 0.1111
2457718.65579 g 19.8272 0.094
2457718.69642 R 19.3273 0.0842
2457722.71926 R 19.9353 0.1157
2457722.73098 R 19.6007 0.1166
2457723.69262 R 19.2485 0.1113
2457723.72546 R 19.4951 0.11
2457725.66429 R 19.4207 0.1546
2457726.66373 R 19.2367 0.1151
2457737.58329 R 19.5134 0.1739
2457737.60314 R 19.4324 0.1721
2457741.57317 R 19.3626 0.1958
2457741.58823 R 19.7943 0.1533
2457742.57935 R 20.2319 0.1372
2457742.60193 R 19.6793 0.1678
