No data from PTF
 
2457449.70922 g 18.2508 0.0483
2457449.73299 g 18.2454 0.0276
2457449.73299 g 18.1759 0.0572
2457449.75696 g 18.2329 0.0291
2457451.70003 g 18.3687 0.0349
2457451.72366 g 18.3779 0.0761
2457452.70803 g 18.3866 0.0341
2457452.73103 g 18.4129 0.0246
2457452.73103 g 18.3714 0.0316
2457452.75521 g 18.4079 0.0304
2457454.70868 g 18.4192 0.0477
2457454.720235 g 18.5803 0.0289
2457454.73179 g 18.5524 0.0454
2457456.73448 g 18.5006 0.0498
2457456.74637 g 18.6324 0.0337
2457456.75826 g 18.6028 0.057
2457457.70988 g 18.6863 0.0432
2457457.73369 g 18.7829 0.0518
2457457.7574 g 18.7285 0.0494
2457458.23442 g 18.8072 0.0263
2457458.71144 g 18.6763 0.1511
2457458.73411 g 18.7551 0.0487
2457458.75782 g 18.7899 0.0445
2457463.73664 g 18.9567 0.0852
2457463.74858 g 19.0784 0.0592
2457463.76052 g 18.9048 0.1082
2457479.63931 g 19.8078 0.1473
2457479.66745 g 19.7301 0.1444
2457479.69596 g 19.6981 0.1393
2457480.16966 g 19.7801 0.0691
2457480.64336 g 19.5908 0.1115
2457480.67683 g 19.6901 0.1227
2457480.70648 g 20.0404 0.1523
2457481.68219 g 20.0805 0.1511
2457481.696395 g 20.0568 0.1037
2457481.7106 g 20.0099 0.1461
2457482.66882 g 20.0182 0.1574
2457482.69691 g 19.9093 0.1424
2457483.64141 g 20.4946 0.1378
2457483.66944 g 20.1076 0.1696
2457483.66944 g 20.2029 0.1208
2457483.69756 g 20.2403 0.1562
